iter	Passed	Remaining
0	58	58018
1	58	29190
2	58	19574
3	59	14762
4	59	11876
5	60	9969
6	60	8596
7	60	7562
8	61	6757
9	61	6122
10	62	5598
11	62	5158
12	63	4784
13	63	4464
14	63	4186
15	64	3942
16	64	3730
17	64	3539
18	65	3370
19	65	3217
20	66	3078
21	66	2952
22	66	2838
23	67	2733
24	67	2638
25	68	2549
26	68	2465
27	68	2387
28	69	2338
29	70	2271
30	70	2206
31	70	2147
32	71	2091
33	71	2038
34	72	1989
35	72	1943
36	72	1898
37	73	1856
38	73	1817
39	74	1778
40	74	1741
41	74	1706
42	75	1676
43	75	1647
44	76	1617
45	76	1589
46	77	1563
47	77	1539
48	78	1514
49	78	1490
50	78	1466
51	79	1443
52	79	1420
53	79	1399
54	80	1379
55	80	1360
56	81	1341
57	81	1325
58	81	1307
59	82	1290
60	82	1273
61	83	1257
62	83	1241
63	83	1227
64	84	1213
65	84	1199
66	85	1185
67	85	1171
68	85	1158
69	86	1145
70	86	1132
71	86	1119
72	87	1108
73	87	1097
74	88	1085
75	88	1074
76	88	1063
77	89	1053
78	89	1043
79	89	1033
80	90	1024
81	90	1015
82	90	1004
83	91	996
84	91	988
85	92	979
86	92	974
87	93	965
88	93	958
89	94	950
90	94	943
91	94	936
92	95	928
93	95	921
94	95	913
95	96	906
96	96	899
97	97	893
98	97	886
99	97	881
100	98	874
101	98	868
102	99	862
103	99	856
104	99	850
105	100	844
106	100	838
107	100	832
108	101	827
109	101	821
110	101	816
111	102	811
112	102	806
113	103	800
114	103	795
115	103	790
116	103	784
117	104	779
118	104	774
119	105	770
120	105	766
121	105	761
122	106	757
123	106	753
124	106	748
125	107	744
126	107	740
127	108	737
128	108	733
129	109	730
130	109	726
131	109	722
132	110	719
133	110	715
134	111	711
135	111	707
136	111	703
137	112	700
138	112	697
139	112	693
140	113	690
141	113	685
142	113	682
143	114	679
144	114	675
145	115	672
146	115	669
147	115	666
148	116	663
149	116	660
150	116	657
151	117	653
152	117	650
153	117	647
154	118	644
155	118	641
156	118	638
157	119	635
158	119	632
159	119	629
160	120	626
161	120	623
162	121	621
163	121	619
164	121	616
165	122	614
166	122	612
167	123	610
168	123	608
169	124	605
170	124	603
171	124	601
172	125	598
173	125	596
174	126	594
175	126	591
176	126	589
177	127	586
178	127	584
179	127	582
180	128	580
181	128	578
182	129	578
183	129	576
184	130	574
185	130	571
186	131	569
187	131	567
188	131	565
189	132	563
190	132	560
191	132	558
192	133	557
193	133	555
194	133	553
195	134	551
196	134	549
197	135	546
198	135	544
199	135	543
200	136	542
201	136	540
202	137	538
203	137	536
204	137	534
205	138	532
206	138	531
207	139	529
208	139	528
209	140	526
210	140	524
211	140	523
212	141	521
213	141	520
214	141	518
215	142	516
216	142	514
217	143	513
218	143	511
219	143	510
220	144	508
221	144	507
222	145	505
223	145	504
224	145	502
225	146	500
226	146	499
227	146	497
228	147	495
229	147	494
230	147	492
231	148	491
232	148	489
233	149	487
234	149	486
235	149	484
236	150	483
237	150	481
238	150	479
239	151	478
240	151	477
241	152	476
242	152	475
243	152	473
244	153	472
245	153	471
246	154	469
247	154	468
248	154	467
249	155	465
250	155	464
251	156	463
252	156	462
253	156	460
254	157	459
255	157	458
256	158	457
257	158	455
258	158	454
259	159	453
260	159	451
261	159	450
262	160	448
263	160	447
264	161	446
265	161	445
266	161	444
267	162	442
268	162	441
269	162	440
270	163	438
271	163	437
272	163	436
273	164	435
274	164	434
275	165	432
276	165	431
277	165	430
278	166	429
279	166	428
280	166	427
281	167	426
282	167	425
283	168	424
284	168	423
285	169	422
286	169	421
287	170	420
288	170	419
289	170	418
290	171	416
291	171	415
292	171	414
293	172	413
294	172	412
295	172	411
296	173	410
297	173	409
298	174	408
299	174	407
300	174	406
301	175	405
302	175	404
303	176	402
304	176	401
305	176	400
306	177	399
307	177	398
308	177	397
309	178	396
310	178	395
311	178	394
312	179	393
313	179	392
314	179	391
315	180	390
316	180	389
317	181	388
318	181	387
319	181	386
320	182	385
321	182	384
322	183	383
323	183	382
324	183	381
325	184	380
326	184	380
327	185	379
328	185	378
329	185	377
330	186	376
331	186	375
332	187	374
333	187	373
334	187	372
335	188	371
336	188	370
337	188	369
338	189	368
339	189	368
340	189	367
341	190	366
342	190	365
343	191	364
344	191	363
345	191	362
346	192	361
347	192	360
348	192	359
349	193	358
350	193	357
351	193	356
352	194	355
353	194	355
354	194	354
355	195	353
356	195	352
357	196	351
358	196	350
359	196	349
360	197	348
361	197	348
362	198	347
363	198	346
364	199	346
365	199	345
366	199	344
367	200	344
368	200	343
369	201	342
370	201	341
371	201	340
372	202	340
373	202	339
374	203	338
375	203	337
376	203	336
377	204	335
378	204	335
379	205	334
380	205	333
381	205	332
382	206	332
383	206	331
384	206	330
385	207	329
386	207	328
387	208	328
388	208	327
389	208	326
390	209	325
391	209	324
392	209	324
393	210	323
394	210	322
395	210	321
396	211	320
397	211	320
398	211	319
399	212	318
400	212	317
401	213	316
402	213	316
403	213	315
404	214	314
405	214	314
406	215	313
407	215	312
408	215	311
409	216	311
410	216	310
411	217	310
412	217	309
413	218	308
414	218	307
415	218	307
416	219	306
417	219	305
418	220	305
419	220	304
420	220	303
421	221	302
422	221	302
423	221	301
424	222	300
425	222	299
426	222	298
427	223	298
428	223	297
429	223	296
430	224	296
431	224	295
432	225	294
433	225	293
434	225	293
435	226	292
436	226	291
437	226	291
438	227	290
439	227	289
440	227	288
441	228	288
442	228	287
443	229	287
444	229	286
445	230	286
446	230	285
447	231	284
448	231	284
449	232	283
450	232	282
451	232	282
452	233	281
453	233	280
454	233	280
455	234	279
456	234	278
457	235	278
458	235	277
459	235	276
460	236	276
461	236	275
462	236	274
463	237	274
464	237	273
465	237	272
466	238	271
467	238	271
468	238	270
469	239	269
470	239	269
471	240	268
472	240	267
473	240	267
474	241	266
475	241	265
476	241	265
477	242	264
478	242	263
479	242	263
480	243	262
481	243	261
482	243	261
483	244	260
484	244	259
485	245	259
486	245	258
487	245	257
488	246	257
489	246	256
490	247	256
491	247	255
492	247	255
493	248	254
494	248	253
495	249	253
496	249	252
497	249	251
498	250	251
499	250	250
500	251	250
501	251	249
502	251	248
503	252	248
504	252	247
505	253	247
506	253	246
507	253	245
508	254	245
509	254	244
510	254	243
511	255	243
512	255	242
513	255	242
514	256	241
515	256	240
516	256	240
517	257	239
518	257	238
519	258	238
520	258	237
521	258	236
522	259	236
523	259	235
524	259	235
525	260	234
526	260	233
527	261	233
528	261	232
529	261	232
530	262	231
531	262	231
532	263	230
533	263	230
534	263	229
535	264	228
536	264	228
537	265	227
538	265	226
539	265	226
540	266	225
541	266	225
542	266	224
543	267	223
544	267	223
545	267	222
546	268	222
547	268	221
548	269	221
549	269	220
550	269	219
551	270	219
552	270	218
553	271	218
554	271	217
555	271	217
556	272	216
557	272	215
558	272	215
559	273	214
560	273	214
561	273	213
562	274	212
563	274	212
564	274	211
565	275	211
566	275	210
567	276	210
568	276	209
569	277	209
570	277	208
571	278	208
572	278	207
573	278	207
574	279	206
575	279	205
576	280	205
577	280	204
578	280	204
579	281	203
580	281	203
581	281	202
582	282	201
583	282	201
584	283	200
585	283	200
586	283	199
587	284	199
588	284	198
589	284	197
590	285	197
591	285	196
592	286	196
593	286	195
594	286	195
595	287	194
596	287	194
597	287	193
598	288	192
599	288	192
600	288	191
601	289	191
602	289	190
603	290	190
604	290	189
605	290	189
606	291	188
607	291	187
608	292	187
609	292	186
610	292	186
611	293	185
612	293	185
613	293	184
614	294	184
615	294	183
616	295	183
617	295	182
618	295	182
619	296	181
620	296	181
621	297	180
622	297	179
623	297	179
624	298	178
625	298	178
626	298	177
627	299	177
628	299	176
629	299	176
630	300	175
631	300	175
632	301	174
633	301	174
634	301	173
635	302	172
636	302	172
637	302	171
638	303	171
639	303	170
640	304	170
641	304	169
642	304	169
643	305	168
644	305	168
645	305	167
646	306	167
647	306	166
648	306	166
649	307	165
650	307	165
651	308	164
652	308	164
653	309	163
654	309	163
655	310	162
656	310	162
657	310	161
658	311	161
659	311	160
660	311	159
661	312	159
662	312	158
663	312	158
664	313	157
665	313	157
666	314	156
667	314	156
668	314	155
669	315	155
670	315	154
671	316	154
672	316	153
673	316	153
674	317	152
675	317	152
676	318	151
677	318	151
678	318	150
679	319	150
680	319	149
681	319	149
682	320	148
683	320	148
684	320	147
685	321	147
686	321	146
687	321	145
688	322	145
689	322	145
690	323	144
691	323	144
692	324	143
693	324	143
694	324	142
695	325	142
696	325	141
697	326	141
698	326	140
699	326	140
700	327	139
701	327	138
702	327	138
703	328	137
704	328	137
705	328	136
706	329	136
707	329	135
708	329	135
709	330	134
710	330	134
711	331	133
712	331	133
713	331	132
714	332	132
715	332	131
716	332	131
717	333	130
718	333	130
719	333	129
720	334	129
721	334	128
722	334	128
723	335	127
724	335	127
725	336	126
726	336	126
727	336	125
728	337	125
729	337	124
730	338	124
731	338	124
732	339	123
733	339	123
734	340	122
735	340	122
736	340	121
737	341	121
738	341	120
739	341	120
740	342	119
741	342	119
742	343	118
743	343	118
744	343	117
745	344	117
746	344	116
747	344	116
748	345	115
749	345	115
750	345	114
751	346	114
752	346	113
753	347	113
754	347	112
755	347	112
756	348	111
757	348	111
758	348	110
759	349	110
760	349	109
761	349	109
762	350	108
763	350	108
764	351	107
765	351	107
766	351	106
767	352	106
768	352	105
769	352	105
770	353	104
771	353	104
772	354	104
773	354	103
774	355	103
775	355	102
776	356	102
777	356	101
778	356	101
779	357	100
780	357	100
781	358	99
782	358	99
783	358	98
784	359	98
785	359	97
786	359	97
787	360	96
788	360	96
789	360	95
790	361	95
791	361	94
792	361	94
793	362	94
794	362	93
795	363	93
796	363	92
797	363	92
798	364	91
799	364	91
800	364	90
801	365	90
802	365	89
803	366	89
804	366	88
805	366	88
806	367	87
807	367	87
808	367	86
809	368	86
810	368	85
811	369	85
812	369	85
813	370	84
814	370	84
815	371	83
816	371	83
817	371	82
818	372	82
819	372	81
820	373	81
821	373	80
822	373	80
823	374	79
824	374	79
825	375	79
826	375	78
827	375	78
828	376	77
829	376	77
830	376	76
831	377	76
832	377	75
833	377	75
834	378	74
835	378	74
836	378	73
837	379	73
838	379	72
839	380	72
840	380	71
841	380	71
842	381	70
843	381	70
844	381	70
845	382	69
846	382	69
847	382	68
848	383	68
849	383	67
850	384	67
851	384	66
852	385	66
853	385	65
854	386	65
855	386	65
856	387	64
857	387	64
858	387	63
859	388	63
860	388	62
861	389	62
862	389	61
863	389	61
864	390	60
865	390	60
866	391	59
867	391	59
868	391	59
869	392	58
870	392	58
871	392	57
872	393	57
873	393	56
874	394	56
875	394	55
876	394	55
877	395	54
878	395	54
879	395	53
880	396	53
881	396	53
882	396	52
883	397	52
884	397	51
885	398	51
886	398	50
887	398	50
888	399	49
889	399	49
890	400	48
891	400	48
892	401	48
893	401	47
894	402	47
895	402	46
896	403	46
897	403	45
898	403	45
899	404	44
900	404	44
901	404	43
902	405	43
903	405	43
904	405	42
905	406	42
906	406	41
907	407	41
908	407	40
909	407	40
910	408	39
911	408	39
912	408	38
913	409	38
914	409	38
915	410	37
916	410	37
917	410	36
918	411	36
919	411	35
920	411	35
921	412	34
922	412	34
923	412	33
924	413	33
925	413	33
926	413	32
927	414	32
928	414	31
929	414	31
930	415	30
931	415	30
932	416	29
933	416	29
934	416	28
935	417	28
936	417	28
937	418	27
938	418	27
939	419	26
940	419	26
941	419	25
942	420	25
943	420	24
944	420	24
945	421	24
946	421	23
947	422	23
948	422	22
949	423	22
950	423	21
951	423	21
952	424	20
953	424	20
954	424	20
955	425	19
956	425	19
957	425	18
958	426	18
959	426	17
960	426	17
961	427	16
962	427	16
963	428	15
964	428	15
965	428	15
966	429	14
967	429	14
968	429	13
969	430	13
970	430	12
971	431	12
972	431	11
973	431	11
974	432	11
975	432	10
976	433	10
977	433	9
978	433	9
979	434	8
980	434	8
981	435	7
982	435	7
983	435	7
984	436	6
985	436	6
986	436	5
987	437	5
988	437	4
989	438	4
990	438	3
991	438	3
992	439	3
993	439	2
994	439	2
995	440	1
996	440	1
997	440	0
998	441	0
999	441	0
